Name,Description,Attribute,Cost
Diplomacia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Filosofia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Geografia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Geologia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Herbalismo,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
História,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Literatura,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Matemática,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Meteorologia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Religião,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Zoologia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
###Ciências Proibidas###,,,
Alquimia,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Teoria do Tao,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Conhecimentos sobre os Planos,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Demônios,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Ocultismo,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Psionicismo,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Rituais,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Teoria da Magia,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Vampiros,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Viagem ,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Astral,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
Dragões,"Você domina certos conhecimentos obscuros, pode participar de alguma seita secreta, qualquer demonstração desses conhecimentos pode ocasionar uma reação de repulsão ou algo pior pelos habitantes comuns.",,
############################,,,
Condução: Liteira,Saiba como conduzir e fazer pequenos reparos nos veículos. ,Agility,
Condução: Carroça,Saiba como conduzir e fazer pequenos reparos nos veículos. ,Agility,
Disfarce,"Você consegue se passar por outro tipo de pessoa, se esconder em multidões com facilidade, passar desapercebido entre as fileiras de um exército inimigo. Disfarce",Inteligence,
###Engenharia###,,,
Engenharia: Civil,"Você domina os cnnhecimentos para construir e reparar máquinas mais complexas, conhece materiais, sabe operar com facilidade qualquer maquinário e engenhoca.",,
Engenharia: Demolições,"Você domina os cnnhecimentos para construir e reparar máquinas mais complexas, conhece materiais, sabe operar com facilidade qualquer maquinário e engenhoca.",,
Engenharia: Mecânica,"Você domina os cnnhecimentos para construir e reparar máquinas mais complexas, conhece materiais, sabe operar com facilidade qualquer maquinário e engenhoca.",,
Engenharia: Naval,"Você domina os cnnhecimentos para construir e reparar máquinas mais complexas, conhece materiais, sabe operar com facilidade qualquer maquinário e engenhoca.",,
Engenharia: Militar,"Você domina os cnnhecimentos para construir e reparar máquinas mais complexas, conhece materiais, sabe operar com facilidade qualquer maquinário e engenhoca.",,
########################,,,
Escalar,"Poucos têm a capacidade de sub±r tão facilmente em qualquer superfície como você, suba em árvores rapidamente, entre por janelas no alto de grandes muros, torne muralhas um empecilho pequeno, saiba portar escadas e cordas com ganchos.",Agility,
Escutar,"Ouça o que se passa atrás de paredes, do outro lado de portas, abaixo do telhado em que se encontra, próximo à matas ameaçadoras e evite surpresas desagradáveis.",Perception,
Esquiva,"Você tem uma habilidade maior para desviar de golpes, armas arremessadas ou qualquer outro acidente natural ou não.",Agility,
###Esportes###,,,
Acrobacia,,Agility,
Arremesso,,Dexterity,
Caça,,Perception,
Canoagem,,Constitution,
Corrida,,Constitution,
Mergulho,,Constitution,
Pesca,,Perception,
Natação,,Agility,
Salto,,Agility,
#######################,,,
Etiqueta,"Indica a sua boa educação frente a situações cerimoniosas, como festas, reuniões, jantares e no trato pessoal em qualquer situação.",Carisma,
###Falsificação###,,,
Falsificar Documentos,Você conhece as técnicas necessárias para copiar e alteração de acordo com seus objetivos determinados objetos.,Inteligence,
Falsificar Escultura,Você conhece as técnicas necessárias para copiar e alteração de acordo com seus objetivos determinados objetos.,Inteligence,
Falsificar Joalheria,Você conhece as técnicas necessárias para copiar e alteração de acordo com seus objetivos determinados objetos.,Inteligence,
Falsificar Pinturas,Você conhece as técnicas necessárias para copiar e alteração de acordo com seus objetivos determinados objetos.,Inteligence,
Falsificar Pergaminhos,Você conhece as técnicas necessárias para copiar e alteração de acordo com seus objetivos determinados objetos.,Inteligence,
###################,,,
Furtar,"Você domina as artes necessárias no furto, do pequeno pungista ao assaltante de casas a quartéis militares.",Dexterity,
Furgitivadade,"Torna mais fácil esgueirar-se pelas sombras, seguir sem ser notado, fugir em silêncio. ",Agility,
Idioma,"Indica seus conhecimentos em outras linguas, idiomas ou dialetos e sua capacidade em aprende-los.",,
Ler e Escrever,"Você consegue decifrar os ideogramas de velhos papiros que estejam escritos em uma lingua que você domine, conforme mais alto seu conhecimento mais fácil será analisar inscrições que você não domine comparando com outras conhecidas e semelhantes, você também tem a faculdade de poder deixar registrado o que melhor lhe aprouver.",,
###Manipulação###,,,
Empatia,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Hipnose,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",,
Impressionar,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Interrogatório,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Inteligence,
Intimidação,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Will,
Lábia,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Liderança,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Manha,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Sedução,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Carisma,
Tortura,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Inteligence,
Meditação,"Você consegue retirar as informações da maioria das pessoas consegue fazê-los mudar de idéia, recebe qualquer tipo de ajuda com mais facilidade, de uma forma mais pacífica ou não, dependendo do subgrupo. ",Inteligence,
#########################,,,
Manuseio de Fechaduras,"Você conhece o funcionamento mecânico de fechaduras e outros equipamentos como ferrolhos, sabe como travar portas com maior segurança, e claro, como arrombá-las rapidamente e em silêncio.",,
###Medicina###,,,
Cirurgia,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Dexterity,
Amputação,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Dexterity,
Primeiros Socorros,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Inteligence,
Acupuntura,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Inteligence,
Reiki,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Inteligence,
Aromaterapia,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",Inteligence,
Pontos de Pressão,"Personagens com habilidades médicas são muito valiosos em ambientes como o de Lieh, desde as sociedades mais primitivas como os Tokage até os grandes reinos, sempre haverá alguém disposto a mostrar suas aptidões em troca de alguma coisa",,
###Mineração###,,,
Cristais,"Você conhece os nomes, materiais e as formas de materiais que se escondem no seio da terra e nos leitos de rios, assim como a forma de extraí-los e trabalhá-los, além de seu preço no mercado.",,
Gemas,"Você conhece os nomes, materiais e as formas de materiais que se escondem no seio da terra e nos leitos de rios, assim como a forma de extraí-los e trabalhá-los, além de seu preço no mercado.",,
Metais,"Você conhece os nomes, materiais e as formas de materiais que se escondem no seio da terra e nos leitos de rios, assim como a forma de extraí-los e trabalhá-los, além de seu preço no mercado.",,
###Negociação###,,,
Barganha,"As técnicas necessárias para o trato socie!, indicadas caso você seja um feirante, lojista, mascate, diplomata e qualquer outra espécie de profissão afim.",Carisma,
Burocracia,"As técnicas necessárias para o trato socie!, indicadas caso você seja um feirante, lojista, mascate, diplomata e qualquer outra espécie de profissão afim.",Inteligence,
Contabilidade,"As técnicas necessárias para o trato socie!, indicadas caso você seja um feirante, lojista, mascate, diplomata e qualquer outra espécie de profissão afim.",Inteligence,
Marketing,"As técnicas necessárias para o trato socie!, indicadas caso você seja um feirante, lojista, mascate, diplomata e qualquer outra espécie de profissão afim.",Inteligence,
Comércio,"As técnicas necessárias para o trato socie!, indicadas caso você seja um feirante, lojista, mascate, diplomata e qualquer outra espécie de profissão afim.",Carisma,
######################,,,
Investigação,"Você tem conhecimenro de onde encontrar as informações que lhe são necessárias, tem acesso às bibliotecas e sabe exatamente onde procurar aquele tomo secreto, sabe em que locais pode encontrar as pessoas e os seus contatos que podem lhe por a par do que precisa.",Perception,
###Pilotagem###,,,
Navegação,"Você sabe como explorar as melhores condições para um melhor aproveitamento de seu veículo, conhece as rotas de vento, domina a leitura de mapas e equipamentos primitivos de navegação.",,
Pilotagem Chauntong,"Você sabe como explorar as melhores condições para um melhor aproveitamento de seu veículo, conhece as rotas de vento, domina a leitura de mapas e equipamentos primitivos de navegação.",,
Canoagem,"Você sabe como explorar as melhores condições para um melhor aproveitamento de seu veículo, conhece as rotas de vento, domina a leitura de mapas e equipamentos primitivos de navegação.",,
#####################,,,
Rastreio, ,Perception,
###Sobrevivencia###,,,
Sobrevivência: Localização,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Deserto,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Floresta,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Gelo,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Montanha,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Planicie,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
Sobrevivência: Selva,Aumenta sua capacidade de manter-se vivo em terrenos inóspitos e perigosos.,Perception,
